artist_name,track_name,track_id,track_popularity,artist_id,artist_popularity,artist_genres,artist_followers,danceability,energy,loudness,speechiness,acousticness,instrumentalness,liveness,valence,tempo,duration_ms,time_signature
RIIZE,Siren,3K8OJiXeEYnQ0nUlLDwh4X,46,2jOm3cYujQx6o1dxuiuqaX,68,['5th gen k-pop'],1011081,0.807,0.828,-2.928,0.0628,0.00101,7.91e-06,0.143,0.672,104.978,147962,4
J-Tong,Woof,53h22PaazdM3gIFSZnrPpL,38,70DqoppP3xK7LgtYiccxfZ,31,[],2453,0.648,0.703,-5.528,0.325,0.0695,0.0708,0.351,0.511,158.026,98496,4
DAVICHI,Stitching,2FyMzBBr9xI0GL2du2KJsI,40,4z6yrDz5GfKXkeQZjOaZdq,57,"['k-pop', 'korean pop']",703093,0.438,0.425,-7.055,0.0391,0.514,0.0,0.127,0.163,131.001,176787,4
Linkin Park,Casualty,7BkzAHnNW7WfrT4NcLaUDx,78,6XyY86QOPPrYVGvF9ch6wz,93,"['alternative metal', 'nu metal', 'post-grunge', 'rap metal', 'rock']",27712063,0.576,0.948,-4.082,0.173,0.00467,0.00838,0.322,0.5,159.928,140916,4
Dua Lipa,Houdini,6D8y7Bck8h11byRY88Pt2z,82,6M2wZ9GZgrQXHCFfjv46we,88,"['dance pop', 'pop', 'uk pop']",45047865,0.744,0.789,-4.876,0.059,0.0036,0.00144,0.0947,0.866,116.985,185918,4
yama,色彩,5H37zP5tQCneoCRJEMRcnV,60,7kOrrFIBIBc8uCu2zbxbLv,63,"['j-pop', 'japanese teen pop']",1287214,0.581,0.921,-3.373,0.0736,0.153,0.0,0.254,0.856,117.045,192920,4
HYUKOH,Glue,7h7p7gSIBzqTxEEoAR2lwL,49,57okaLdCtv3nVBSn5otJkp,57,"['korean indie folk', 'korean r&b']",621622,0.639,0.638,-8.21,0.0467,0.588,0.384,0.036,0.836,173.973,260431,4
LUCY,Complex,0gF6Lrgc1V2aaKCdS55uIf,39,4eh2JeBpQaScfHKKXZh5vO,52,['korean superband'],293739,0.472,0.909,-1.642,0.16,0.0841,0.0,0.0814,0.652,82.843,213560,4
AKE RUSH,JUST FINE,2NguTiBlCQJlzSCdxgbmb2,33,18VVZV7i72PIKYWIYe3SST,26,[],193,0.612,0.594,-6.838,0.0424,0.0442,0.561,0.287,0.472,171.876,157909,4
j-hope,lock / unlock (with benny blanco & Nile Rodgers),3aKXtIPNRoD73KLpsNnNoK,63,0b1sIQumIAsNbqAoIClSpy,73,"['k-pop', 'k-rap']",18122551,0.706,0.765,-5.608,0.0338,0.0142,0.00109,0.0883,0.725,116.005,181971,4
