danceability,energy,loudness,speechiness,acousticness,instrumentalness,liveness,valence,tempo,id,duration_ms,time_signature
0.565,0.938,-1.838,0.0687,0.103,0.0,0.397,0.562,176.543,6wtcR8APXJAtPXb6LV96ia,214267,4
0.772,0.843,-7.061,0.058,0.0164,0.00316,0.0895,0.59,124.99,5knxa9j29AigAUHKxnB7m5,228654,4
0.724,0.695,-5.226,0.0622,0.073,0.0,0.0889,0.235,139.0,4fixebDZAVToLbUCuEloa2,224400,4
0.63,0.504,-6.152,0.0334,0.0953,0.0,0.308,0.487,89.946,1oQZk2bKBLgP1cbuFKvjkq,249867,4
0.63,0.504,-6.152,0.0334,0.0953,0.0,0.308,0.487,89.946,1oQZk2bKBLgP1cbuFKvjkq,249867,4
0.6,0.792,-5.894,0.0516,0.00321,4.84e-05,0.315,0.399,80.059,5X3ahLXhOw16BR09GjYPUT,294720,4
0.446,0.834,-4.014,0.0341,0.0794,0.0,0.114,0.363,132.034,7zmqbdEqmQWgU2wOoBPG83,228827,4
0.791,0.713,-3.742,0.254,0.0163,0.0,0.189,0.514,130.012,5jzX4dWVQeBTtfBaXnMRt5,192573,4
0.526,0.882,-4.006,0.0509,0.0014,0.0,0.144,0.424,144.982,4Dm32oO01YpIubCHaAtKkN,211493,4
0.422,0.712,-5.907,0.1,0.273,0.0,0.051,0.471,78.454,2CvOqDpQIMw69cCzWqr5yr,261160,4
0.516,0.874,-2.571,0.186,0.0864,0.0,0.173,0.391,169.561,4dK00wCxlqWEeN8BoM1BHT,297520,3
0.453,0.975,-3.074,0.291,0.0518,1.57e-06,0.223,0.155,129.174,0wruS6JEQCGeYrvsCIdG0Z,202680,4
0.616,0.47,-6.092,0.0253,0.291,0.0,0.111,0.325,80.03,0Z5ok0QLLttAKsujOZYOXf,210507,4
0.595,0.715,-13.863,0.0384,0.0374,0.0,0.374,0.722,134.498,6QbcLktLNe7eYqh8TjZeCd,213787,4
0.458,0.585,-5.574,0.0342,0.324,0.0,0.231,0.196,145.977,4lhajjgcICdfhRkvWj9Tud,245373,4
0.893,0.666,-5.089,0.136,0.0203,0.0,0.342,0.874,107.029,158q3fa4ZMoMYWdiYWD5NL,220427,4
0.641,0.451,-7.694,0.0899,0.507,1.71e-06,0.629,0.612,179.967,4He7bzKBaiu7CRz4wGkZzx,223160,4
0.866,0.857,-5.894,0.0664,0.13,0.0017,0.13,0.408,130.049,3oDFtOhcN08qeDPAK6MEQG,251440,4
0.738,0.804,-6.018,0.0608,0.197,0.0,0.297,0.791,109.045,6ntkwU1MhehTKgx4BWxX3f,181013,4
0.452,0.544,-5.423,0.0277,0.0631,5.33e-06,0.104,0.158,133.042,5vyxXfD5gLlyPxGZMEjtmd,191947,3
0.502,0.938,-3.114,0.13,0.00098,0.0,0.318,0.35,144.077,2I5CPUnMIKjEXeg61OI9uV,200347,4
0.588,0.845,-4.497,0.0377,0.00869,0.0,0.326,0.745,138.014,2gnZad0pb6QtUqMLTj2AjI,231560,4
0.777,0.82,-3.211,0.0471,0.00505,2.6e-05,0.142,0.651,119.987,5myYDbAurm1CW038qd4gL2,208133,4
0.632,0.773,-4.856,0.0346,0.0623,0.0,0.0885,0.474,130.033,1qrpoAMXodY6895hGKoUpA,231124,4
0.524,0.878,-3.108,0.0346,0.0012,0.0,0.098,0.589,130.985,28RZ8tNiWmTYISN51VpnNO,199187,4
0.894,0.678,-5.611,0.0523,0.00569,2.43e-06,0.317,0.844,105.029,0eH2eHURaXUP15D8gQlfjx,216333,4
0.653,0.788,-5.411,0.0338,0.00993,2.09e-06,0.201,0.481,120.992,4DyKZmONpoggnn3piyjad2,226733,4
0.395,0.922,-2.176,0.375,0.19,0.0,0.134,0.558,162.361,3QLjDkgLh9AOEHlhQtDuhs,257690,4
0.632,0.73,-5.895,0.245,0.00316,0.0,0.397,0.762,76.067,6klZDCEsQzMELAPyovvpUw,315320,4
0.64,0.822,-4.954,0.041,0.42,0.000435,0.144,0.395,141.054,4QoZGQ8woaho94v629kVl1,199773,4
0.276,0.715,-5.356,0.0432,0.00552,0.000417,0.201,0.173,137.028,5VGlqQANWDKJFl0MBG3sg2,230760,4
0.23,0.492,-5.767,0.0317,0.568,8.18e-06,0.176,0.262,160.139,57uX2vR9j9DNiANDYfXw1i,256613,4
0.585,0.927,-5.253,0.04,0.00432,0.0,0.178,0.672,142.043,33RJ3P6wc0B0FIyDalhNTv,226253,4
0.632,0.924,-1.802,0.29,0.281,0.0,0.263,0.441,86.844,7LR85XLWw2yXqKBSI5brbG,267520,4
0.665,0.779,-2.671,0.0367,0.00431,2.33e-05,0.617,0.9,109.986,6yrU8Dn9x8KcAftMIODkyP,184547,4
0.615,0.711,-5.507,0.0779,0.0444,0.0,0.145,0.711,144.036,7xkQdy0cy5ymoWT7nedvLz,221253,4
0.629,0.174,-9.697,0.141,0.616,0.0,0.118,0.305,134.295,2Dz5WpEWA0vhnMmEPYiZ2y,146067,1
0.762,0.692,-3.973,0.0437,0.112,0.0,0.094,0.397,114.903,02XnQdf7sipaKBBHixz3Zp,208307,4
0.491,0.956,-1.538,0.392,0.0295,0.0,0.46,0.811,173.585,2igwFfvr1OAGX9SKDCPBwO,276920,4
0.637,0.69,-3.214,0.0693,0.417,0.0,0.211,0.103,140.329,35srNkJVToAzYiZzron1FY,253907,4
